course, teacher...
From Zero to Hero,Kamran Elahian,Kanetaka Maki
Limitless Human Becoming,Hannes Chopra
Design Foundations - Intro to Figma,Egor Nelyubin
Intro to Higher Mathematics,Serhii Denysov,Galina Kaleeva
Intro to UX I,Irene Pereyra
Fundamentals of Digital Product Management,Aleksandr Simukovic
Futures Thinking for Innovation and Strategy,Phil Balagtas,Livia Fioretti,Anton Repponen,Abdullah Al-Shaksy
Programming Interactivity,Marco Barbosa,Anton Repponen
Intro to Programming 1: Python,Ogabek Masharipov,Andrey Danilov
Computer Organization and Systems,Marco Meijer
Python Refresher for Masters,Maxim Musin
Example Course on Startup Fundraising,Stephanie Hospital
Intro to UX II,Irene Pereyra
Idea to Product: Business Design and Product Management,Ryochi Rio Fukaya
"Creative Writing, Storytelling, and Creative Performing",Katlin Kaldmaa
Advanced JavaScript and TypeScript,Christopher Baker,Victor Landim
Combinatorics and Graphs,Anier Velasco Sotomayor
Basics of Databases,Mikhail Nikiforov,Nikolay Golov
Math Refresher for Masters,Serhii Denysov
Designing Brand Experiences,Diego Marini
Market Validation and Research Lab,Luiz Fittipaldi
Digital Strategy and Platforms,Stephanie Schwab,Laura Morris
Maths as a Second Language 1,Ogabek Masharipov
Intro to Programming 2: Python,Ogabek Masharipov
Linear Algebra 2,Galina Kaleeva
Probability and Statistics,Andrey Khokhlov,Evgeniya Korneva
Modern Web Application 1 - From Idea to MVP,Nico Deblauwe
Applications of Motion Design,Po Chen Chia
Technical Product Management,Konstantin Chukreev
Consumer Behaviour,Gary van Broekhoven
"Effective Workplace Communication: Listen, Reason, Lead",Alexander Grigoryev
Designing Apps and APIs,Christopher Baker
Calculus 1,Serhii Denysov,Veronika Shukhman
Masters Machine Learning,Iurii Efimov,Anna Aksenova
3D for Designers,Brent Austin
Applied Economics,Ignacio Mas
Winning Strategies for Performance Marketing,Rafael Bellido Zamora
Linear Algebra 1,Anier Velasco Sotomayor,Galina Kaleeva
Intro to Computer Networks,Anton Topchii
Statistical Data Analysis,Timofey Vilkov
Modern Web Application 2 - From MVP to Deployed App,Nico Deblauwe
Redesigning Innovation: Creating the Future of Work,Kristian Orozco
Product Design in Practice: Problem to Prototype,Nick Mikulin
Sales as a Science Using Gen AI,Mauro Carobene
Behavioural Marketing Automation,Kenda Macdonald
Basics of Algorithms,Ivan Solomatin
Software Engineering,Anton Topchii,Ivan Solomatin
Modern Deep Learning,Radoslav Neychev,Sergey Nikolenko
Conscious Business and Leadership,Thierry de Beyssac
"Entrepreneurship, Leadership and Practical Judgement",Ivan Ballesteros
Layouts and Organising Information. Creating Foundation for your Design.,Anton Repponen
Doing Business in Spain,Luisa Garcia-Valdecasas
"Digital Business Evolution: Data, Efficiency, and Growth Strategies",Xavier Duran
Intro to Data Analysis,Nikolay Taran
React Web,Christopher Baker,Nikolay Taran
Algorithms and Data Structures,Ivan Solomatin
Fundamentals of Data Engineering,Nikolay Markov
Selling and Presenting Design,Irene Pereyra
Agile Leadership and Product Execution,Kate Vekova
Digital Analytics Using the Google Marketing Platform,Brianna Anderson,Abdullah Al-Shaksy
Maths as a Second Language 2,Ogabek Masharipov
Front-End Frameworks,Victor Landim,Christopher Baker
Intro to Programming 3: Python,Andrey Danilov,Ogabek Masharipov
Calculus 2,Veronika Shukhman
Advanced Algorithms and Data Structures,Yegor Gorbachev,Abdullah Al-Shaksy
Design Portfolio,Irene Pereyra
Managing a Creative Business: Turning Ideas into a Project,Pep Salazar
Sales Architecture and Go-To-Market Systems,Gerard Barragan Abril
WebGL in Practice,Roberto Borghesi
Mathematical Foundations of Computing,Serhii Denysov
Back-End Development and Software Testing in Kotlin,Monika Protivova
Data Storages,Nikolay Golov
Illustration,Laura Alejo
Product Analytics,Timofey Vilkov
Building Competitive Ventures: From Strategy to Execution,Pierre-Pascal Urbon
Finance for Entrepreneurs,Abdullah Al-Shaksy
Strategic Messaging for Start-Ups and Entrepreneurs,Bonnie Rothman
React Native,Christopher Baker
Intro to Machine Learning,Anna Aksenova,Iurii Efimov
DevOps,Maksym Prokopov
Digital Transformation,Laura Morris
Financial Modelling,Eric Nobileau
Content Marketing Masterclass,Andy Crestodina
Intro to Probability and Statistics,Evgeniya Korneva
Mobile Development,Carlos Mota
Distributed Systems and Clouds,Igor Sakhankov
Neural Networks and Computer Vision,Sergey Nikolenko,Alexey Davydov
Working with ComfyUI,Joshua Davis
International Business Law,Greg Beatty
Data-Driven and Email Marketing,Jenna Tiffany
Web Performance,Christopher Baker,Ivan Yamshchikov
Practical Linux and Scripting Languages,Marco Meijer
Unity Game Development,Anton Baranov
Industrial Machine Learning,Emeli Dral
Creating and Applying Interactivity,Anton Repponen,Marco Barbosa
Demo Day Bootcamp,Vladislav Poshmorga
Growth Strategies in Tech,Katya de Freedericksz
Adventure Capitalism,Ivan Yamshchikov
System Design Case Studies,Elena Anyusheva
Game Development,Anton Baranov
Intro to Web Development,Christopher Baker,Victor Landim
Intro to Frontend Development,Victor Landim
Fundamentals of Operating Systems,Anton Topchii,Marco Meijer,Monika Protivova
Programming: Java / Kotlin,Monika Protivova,Anton Topchii
Discrete Mathematics,Anier Velasco Sotomayor
Practical Machine Learning,Greg Beatty
